FR,OR
0,50
1,75
4,75
4,25
0,99
0,50
2,-33.68024054
0,100
1,50
0,75
0,100
0,100
3,-8.680240536
1,100
0,100
?,100
0,100
0,75
1,75
1,89.45454545
4,50
1,100
4,100
0,100
0,100
2,100
0,100
0,158.6802405
0,100
0,100
?,100
0,50
4,100
0,100
0,100
4,100
0,100
0,75
0,89.45454545
0,158.6802405
0,100
0,100
0,100
0,75
4,100
?,100
4,75
2,100
0,100
0,75
0,100
0,100
0,99
0,100
0,100
2,100
0,100
0,89.45454545
2,100
3,75
?,100
2,100
3,-42.36048107
0,100
0,-8.680240536
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,75
3,100
0,100
?,100
0,89.45454545
3,100
0,100
0,100
1,100
1,100
0,100
0,100
1,100
1,100
0,100
0,100
0,100
0,100
?,158.6802405
0,100
0,100
0,100
2,158.6802405
1,89.45454545
1,16.31975946
