SR,NR
82.12266582,1
-180534.4657,1
1193.589181,1
629.8641463,1
-180803.7988,2
1381.426178,1
243.6877069,1
1073.833342,1
110.2550051,2
90.08816394,1
-179609.9469,1
164.4426629,1
-2568.296384,1
1533.61225,1
7558.498908,1
29349.25495,1
1463.243734,1
809.3823235,-3.890969797
1455.525516,3
3309.334638,6
6858.172348,6
1832.518368,1
1174.40242,1
1541.310311,1
-2568.296384,1
3707.887429,1
-242.3942494,1
6685.094571,1
30428.46743,1
7322.199858,1
4435.306337,1
3071.270053,1
757.7494666,1
592.2902711,2
640.668228,1
-203.2185588,1
-2568.296384,1
499.2278655,1
735.8122727,1
-625.5457055,1
80176.539,1
338.1352828,1
-486.3996678,1
3460.359244,1
29402.92676,6
-179285.3305,1
26495.66915,5
41911.9388,1
-2568.296384,7
-179660.8361,-3.890969797
4978.039356,1
-175576.4442,1
1555.712452,1
1486.588311,1
-162.4215788,1
1880.401909,6.890969797
255.8692125,-3.890969797
438.9228424,1
29817.85886,4
-1053.130939,1
-2568.296384,1
7223.279494,2
18922.62583,2
149.4377922,1
2360.558138,1
533.4912414,1
81.30768943,-3.890969797
299.2980235,1
-380.7552041,1
1502.799379,1
409.0267737,1
-446.9493311,1
-2568.296384,-8.781939594
9760.659405,1
-306.6883272,1
-1461.305099,1
930.3264389,1
73.67863552,2
2220.47987,1
-460.2692884,1
-181624.99,2
1009.667944,1
-178284.2424,3
2366.191328,1
-2568.296384,1
8583.916981,7.890969797
-388.6418053,1
177.7439753,1
4002.303183,1
-202.9589261,1
17456.43903,4
754.8303866,1
4583.001126,1
-27.50870597,1
4794.131353,1
11967.21099,1
-2568.296384,4
